PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,UnemploymentRateOutcome,wasItPresidentialElectionWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,MondayOpenToFridayCloseRatio,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay,NFPDayOrNot,NFPOutcome,CSIOutcome,CSIActualMinusExpected,CSIDayOrNot,wasItFOMCWeek,FOMCMeetingDate,FOMCAction,FOMCActualVSExpected,FOMCActionSpecial,FOMCPivotAction,PrecedingWeekFridayMonth,UnemploymentActualMinusPreviousInPercent,isItLastFridayOfTheMonth
2003-01-06 to 2003-01-13,1/9/03,86.650002,88.019997,86.629997,87.779999,8806000,Thursday,,0,1/10/03,86.919998,88.379997,86.699997,87.989998,7426900,Friday,0.84339087,1/13/03,88.510002,88.879997,87.580002,88.089996,6227800,Monday,1,0.2392333132744696,1,1.2310170554766846,1,0.5909808067048713,1.005909808,1,0.11364700792469544,0,0,Shock,,,0,0,,,,,,Jan,0,0
2003-01-20 to 2003-01-27,1/23/03,83.699997,84.029999,82.690002,83.440002,9120000,Thursday,,0,1/24/03,83.300003,83.43,81.18,81.400002,10175000,Friday,1.115679825,1/27/03,80.800003,81.800003,79.610001,80.150002,10515700,Monday,0,-2.444870507,0,-2.280913483,0,-0.73709949,0.992629005,0,-1.535626498,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2003-01-27 to 2003-02-03,1/30/03,81.300003,81.57,79.300003,79.300003,10124300,Thursday,,0,1/31/03,79.139999,81.029999,79.139999,80.839996,10294800,Friday,1.01684067,2/3/03,80.970001,81.629997,80.82,81.120003,5464800,Monday,1,1.9419835330901507,1,2.1480882252727804,1,0.1608176724798416,1.001608177,1,0.3463718627596143,0,0,Baseline,,,0,0,,,,,,Jan,0,1
2003-02-03 to 2003-02-10,2/6/03,79.739998,80.150002,79,79.669998,8836300,Thursday,,0,2/7/03,80.110001,80.239998,78.400002,78.849998,7624500,Friday,0.862861152,2/10/03,78.959999,79.529999,78.099998,79.43,7264700,Monday,0,-1.029245664,0,-1.572841074,1,0.13950666175032359,1.001395067,1,0.7355764295644085,0,0,Upbeat,,,0,0,,,,,,Feb,0,0
2003-02-17 to 2003-02-24,2/20/03,80.550003,80.720001,79.279999,79.620003,5209100,Thursday,,0,2/21/03,79.529999,80.550003,78.550003,80.239998,7826700,Friday,1.502505231,2/24/03,79.82,79.949997,78.599998,78.709999,6710800,Monday,1,0.7786925102225919,1,0.8927436299854553,0,-0.523427231,0.994765728,0,-1.906778462,0,0,Baseline,,,0,0,,,,,,Feb,0,0
2003-02-24 to 2003-03-03,2/27/03,78.68,79.459999,77.900002,79.040001,9911300,Thursday,,0,2/28/03,79.169998,79.779999,78.620003,79.309998,9119400,Friday,0.920101299,3/3/03,79.68,79.93,78.330002,78.589996,7116100,Monday,1,0.3415953904150246,1,0.176834664,1,0.46652630100938064,1.004665263,0,-0.907832579,0,0,Baseline,,,0,0,,,,,,Feb,0,1
2003-03-03 to 2003-03-10,3/6/03,77.330002,77.900002,76.730003,76.870003,8054100,Thursday,,0,3/7/03,75.949997,77.580002,75.779999,77.550003,11889500,Friday,1.476204666,3/10/03,76.75,77.029999,75.669998,75.779999,7240100,Monday,1,0.8846103466393865,1,2.106657094403845,0,-1.03159635,0.989684037,0,-2.282403522,0,0,Shock,,,0,0,,,,,,Mar,0,0
2003-03-10 to 2003-03-17,3/13/03,76.800003,78.5,76.330002,78.440002,12660000,Thursday,,0,3/14/03,78.849998,79.550003,78.150002,78.959999,12985500,Friday,1.0257109,3/17/03,78.279999,81.75,77.860001,81.459999,14688600,Monday,1,0.6629232365394245,1,0.13950666175032359,0,-0.861195553,0.991388044,1,3.166160121151977,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2003-03-17 to 2003-03-24,3/20/03,82.300003,83.449997,81.470001,83.120003,14858500,Thursday,,0,3/21/03,83.82,85.360001,83.300003,85.129997,17259100,Friday,1.161564088,3/24/03,83.449997,83.639999,81.879997,82.239998,16257600,Monday,1,2.4181832620963766,1,1.5628692436172869,0,-1.973452437,0.980265476,0,-3.394806886,1,0,Baseline,,,0,0,,,,,,Mar,0,0
2003-03-24 to 2003-03-31,3/27/03,81.620003,82.610001,81.169998,82.029999,9004000,Thursday,,0,3/28/03,81.550003,82.150002,81.199997,81.57,6382700,Friday,0.708873834,3/31/03,80.400002,80.900002,79.379997,79.82,13382600,Monday,0,-0.560769238,1,0.024521151764996727,0,-1.434348412,0.985656516,0,-2.145396592,0,0,Baseline,,,0,0,,,,,,Mar,0,1
