Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2003-01-06,91.239998,93.489998,91.169998,92.959999,62.640125,40984500.0,Monday,1/6/03
2003-01-09,91.82,93.18,91.410004,92.809998,62.539024,34804900.0,Thursday,1/6/03
2003-01-10,91.949997,93.639999,91.800003,93.059998,62.70752,37768900.0,Friday,1/6/03
2003-01-13,93.540001,93.860001,92.440002,93.029999,62.687256,31649900.0,Monday,1/13/03
2003-01-16,92.5,92.93,91.449997,92.019997,62.006699,44812100.0,Thursday,1/13/03
2003-01-17,90.989998,92.300003,90.150002,90.660004,61.090279,35618300.0,Friday,1/13/03
2003-01-21,90.870003,90.919998,88.949997,89.25,60.140179,36826200.0,Tuesday,1/20/03
2003-01-23,88.75,89.379997,87.949997,88.709999,59.776299,55919800.0,Thursday,1/20/03
2003-01-24,88.589996,88.68,86.169998,86.379997,58.206253,68633900.0,Friday,1/20/03
2003-01-27,85.730003,86.800003,84.5,85.199997,57.411114,57884400.0,Monday,1/27/03
2003-01-30,86.790001,86.879997,84.400002,84.43,56.892292,49845900.0,Thursday,1/27/03
2003-01-31,84.150002,86.209999,84.150002,86.059998,57.990631,55317000.0,Friday,1/27/03
2003-02-03,86.139999,86.809998,85.919998,86.230003,58.105164,39696000.0,Monday,2/3/03
2003-02-06,84.370003,84.889999,83.650002,84.449997,56.90575,53638000.0,Thursday,2/3/03
2003-02-07,84.910004,84.989998,82.970001,83.419998,56.211704,43165000.0,Friday,2/3/03
2003-02-10,83.459999,84.129997,82.650002,84.010002,56.609234,45455900.0,Monday,2/10/03
2003-02-13,82.150002,82.660004,81.0,82.349998,55.490669,57934100.0,Thursday,2/10/03
2003-02-14,82.370003,84.199997,81.82,84.150002,56.703587,59580900.0,Friday,2/10/03
2003-02-18,84.529999,85.800003,84.389999,85.629997,57.700825,39492700.0,Tuesday,2/17/03
2003-02-20,85.209999,85.419998,84.050003,84.330002,56.824886,29280100.0,Thursday,2/17/03
2003-02-21,84.379997,85.739998,83.459999,85.18,57.397636,60955800.0,Friday,2/17/03
2003-02-24,84.93,85.0,83.589996,83.800003,56.467781,30628600.0,Monday,2/24/03
2003-02-27,83.699997,84.75,83.160004,84.339996,56.831589,51126000.0,Thursday,2/24/03
2003-02-28,84.470001,85.230003,84.160004,84.900002,57.208996,43666800.0,Friday,2/24/03
2003-03-03,85.260002,85.779999,83.720001,84.089996,56.663162,42923100.0,Monday,3/3/03
2003-03-06,82.870003,83.519997,82.470001,82.75,55.760208,41217700.0,Thursday,3/3/03
2003-03-07,81.610001,83.989998,81.43,83.32,56.144291,63538000.0,Friday,3/3/03
2003-03-10,82.599998,82.860001,81.099998,81.32,54.796631,41014100.0,Monday,3/10/03
2003-03-13,82.18,83.910004,81.529999,83.860001,56.508179,72117800.0,Thursday,3/10/03
2003-03-14,84.199997,84.769997,83.349998,84.129997,56.690105,63951800.0,Friday,3/10/03
2003-03-17,83.459999,86.949997,83.220001,86.779999,58.475807,88217500.0,Monday,3/17/03
2003-03-20,87.330002,88.589996,86.349998,88.150002,59.398952,67321600.0,Thursday,3/17/03
2003-03-21,88.800003,89.879997,87.93,89.669998,60.666824,71165300.0,Friday,3/17/03
2003-03-24,88.019997,88.139999,86.349998,86.690002,58.650669,65398900.0,Monday,3/24/03
2003-03-27,86.400002,87.660004,85.989998,87.150002,58.961876,53120200.0,Thursday,3/24/03
2003-03-28,86.470001,87.279999,86.25,86.709999,58.664227,32583000.0,Friday,3/24/03
2003-03-31,85.349998,86.589996,84.400002,84.739998,57.331394,61119500.0,Monday,3/31/03
2003-04-03,88.870003,88.989998,87.650002,87.699997,59.333977,48755500.0,Thursday,3/31/03
2003-04-04,88.43,88.589996,87.620003,88.220001,59.685814,36250100.0,Friday,3/31/03
2003-04-07,90.339996,90.849998,87.970001,88.050003,59.570816,69776200.0,Monday,4/7/03
2003-04-10,87.089996,87.629997,85.709999,87.510002,59.205456,41812400.0,Thursday,4/7/03
2003-04-11,88.160004,88.699997,86.860001,87.150002,58.961876,47730100.0,Friday,4/7/03
2003-04-14,87.470001,89.0,87.0,88.949997,60.179695,36711700.0,Monday,4/14/03
2003-04-16,89.910004,90.059998,88.029999,88.25,59.706074,51788000.0,Wednesday,4/14/03
2003-04-17,88.300003,89.720001,88.190002,89.559998,60.592422,37403100.0,Thursday,4/14/03
2003-04-21,89.860001,90.160004,89.059998,89.650002,60.653267,32052700.0,Monday,4/21/03
2003-04-24,91.529999,92.080002,90.959999,91.360001,61.810207,49692400.0,Thursday,4/21/03
2003-04-25,91.300003,91.470001,90.019997,90.230003,61.045666,43917200.0,Friday,4/21/03
2003-04-28,90.440002,92.190002,90.300003,91.790001,62.101101,46432900.0,Monday,4/28/03
2003-05-01,91.919998,92.730003,90.5,91.900002,62.175537,50240400.0,Thursday,4/28/03
2003-05-02,91.559998,93.470001,91.489998,93.209999,63.061829,50201500.0,Friday,4/28/03
2003-05-05,93.470001,93.779999,92.5,93.029999,62.940022,35437800.0,Monday,5/5/03
2003-05-08,92.519997,93.330002,92.279999,92.449997,62.547646,40570700.0,Thursday,5/5/03
2003-05-09,92.830002,93.800003,92.610001,93.730003,63.413643,33608100.0,Friday,5/5/03
2003-05-12,93.5,95.120003,93.279999,94.879997,64.191681,35662300.0,Monday,5/12/03
2003-05-15,94.889999,95.330002,94.25,95.110001,64.34729,43879200.0,Thursday,5/12/03
2003-05-16,94.889999,95.449997,94.260002,94.870003,64.184891,38905000.0,Friday,5/12/03
2003-05-19,94.150002,94.419998,92.330002,92.650002,62.682968,41606000.0,Monday,5/19/03
2003-05-22,92.949997,94.050003,92.68,93.57,63.305405,38421800.0,Thursday,5/19/03
2003-05-23,93.529999,93.980003,93.139999,93.760002,63.433922,26155900.0,Friday,5/19/03
2003-05-27,93.300003,95.839996,93.07,95.400002,64.54351,43719200.0,Tuesday,5/26/03
2003-05-29,95.879997,96.82,95.080002,95.419998,64.556992,50844200.0,Thursday,5/26/03
2003-05-30,95.900002,97.089996,95.559998,96.949997,65.59214,52529500.0,Friday,5/26/03
2003-06-02,97.529999,98.449997,96.669998,97.349998,65.862755,50305500.0,Monday,6/2/03
2003-06-05,98.580002,99.650002,98.269997,99.650002,67.418846,46262400.0,Thursday,6/2/03
2003-06-06,100.400002,101.400002,99.129997,99.260002,67.154984,60356800.0,Friday,6/2/03
2003-06-09,98.769997,99.099998,97.769997,98.25,66.471664,37808500.0,Monday,6/9/03
2003-06-12,100.75,100.900002,99.620003,100.610001,68.068329,36442000.0,Thursday,6/9/03
2003-06-13,100.610001,100.75,98.949997,99.559998,67.357933,48628300.0,Friday,6/9/03
2003-06-16,99.959999,101.699997,99.800003,101.660004,68.778717,36326300.0,Monday,6/16/03
2003-06-19,101.639999,101.730003,99.839996,100.019997,67.669182,43551700.0,Thursday,6/16/03
2003-06-20,100.389999,100.5,99.419998,99.440002,67.519783,41545000.0,Friday,6/16/03
2003-06-23,99.449997,99.660004,97.919998,98.419998,66.827187,34237500.0,Monday,6/23/03
2003-06-26,97.779999,98.980003,96.959999,98.800003,67.085197,33477300.0,Thursday,6/23/03
2003-06-27,98.75,99.190002,97.580002,97.660004,66.31118,54208800.0,Friday,6/23/03
2003-06-30,98.220001,98.669998,97.470001,97.629997,66.290787,33349000.0,Monday,6/30/03
2003-07-02,98.769997,99.790001,98.57,99.769997,67.743866,34662100.0,Wednesday,6/30/03
2003-07-03,99.07,99.849998,97.900002,98.739998,67.044464,30792800.0,Thursday,6/30/03
2003-07-07,99.650002,100.900002,99.650002,100.699997,68.37532,31391100.0,Monday,7/7/03
2003-07-10,99.839996,100.040001,98.629997,99.300003,67.424744,49777700.0,Thursday,7/7/03
2003-07-11,99.389999,100.449997,99.389999,100.239998,68.063019,39976300.0,Friday,7/7/03
2003-07-14,101.199997,101.900002,100.449997,100.730003,68.395706,42114900.0,Monday,7/14/03
2003-07-17,99.150002,99.879997,98.160004,98.5,66.881508,52253500.0,Thursday,7/14/03
2003-07-18,99.019997,99.800003,98.459999,99.510002,67.567322,35698100.0,Friday,7/14/03
2003-07-21,99.449997,99.489998,97.849998,98.279999,66.732155,34786000.0,Monday,7/21/03
2003-07-24,99.989998,100.339996,98.370003,98.489998,66.874748,40896200.0,Thursday,7/21/03
2003-07-25,98.660004,100.290001,98.040001,100.230003,68.056213,43241100.0,Friday,7/21/03
2003-07-28,100.370003,100.980003,99.669998,99.860001,67.804993,34382800.0,Monday,7/28/03
2003-07-31,99.980003,100.910004,99.169998,99.389999,67.485855,54937200.0,Thursday,7/28/03
2003-08-01,99.190002,99.529999,98.239998,98.510002,66.888306,49321000.0,Friday,7/28/03
2003-08-04,98.309998,99.0,97.0,98.510002,66.888306,55214100.0,Monday,8/4/03
2003-08-07,97.169998,98.07,96.760002,98.0,66.542023,43427400.0,Thursday,8/4/03
2003-08-08,98.32,98.550003,97.760002,98.279999,66.732155,27357300.0,Friday,8/4/03
2003-08-11,98.260002,99.040001,97.839996,98.650002,66.983414,34631400.0,Monday,8/11/03
2003-08-14,99.099998,99.75,98.449997,99.309998,67.431519,35525100.0,Thursday,8/11/03
2003-08-15,99.360001,99.790001,99.120003,99.620003,67.642014,12567000.0,Friday,8/11/03
2003-08-18,99.93,100.599998,99.739998,100.480003,68.225967,22873800.0,Monday,8/18/03
2003-08-21,101.050003,101.519997,100.400002,100.769997,68.422844,46494200.0,Thursday,8/18/03
2003-08-22,101.75,101.82,99.730003,99.769997,67.743866,52040300.0,Friday,8/18/03
