PrecedingWeekToFollowingWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent
1/6/03 to 1/13/03,2003-01-10,91.949997,93.639999,91.800003,93.059998,37768900,Friday,2003-01-13,93.540001,93.860001,92.440002,93.029999,31649900,Monday,1,0.5157994952890614,0,-0.03223619239706996
1/13/03 to 1/20/03,2003-01-17,90.989998,92.300003,90.150002,90.660004,35618300,Friday,2003-01-21,90.870003,90.919998,88.949997,89.25,36826200,Tuesday,1,0.2316335657783517,0,-1.5552657597500223
1/20/03 to 1/27/03,2003-01-24,88.589996,88.68,86.169998,86.379997,68633900,Friday,2003-01-27,85.730003,86.800003,84.5,85.199997,57884400,Monday,0,-0.752482082165396,0,-1.366057005072606
1/27/03 to 2/3/03,2003-01-31,84.150002,86.209999,84.150002,86.059998,55317000,Friday,2003-02-03,86.139999,86.809998,85.919998,86.230003,39696000,Monday,1,0.0929595652558695,1,0.19754241686131957
2/3/03 to 2/10/03,2003-02-07,84.910004,84.989998,82.970001,83.419998,43165000,Friday,2003-02-10,83.459999,84.129997,82.650002,84.010002,45455900,Monday,1,0.047951331765782965,1,0.707269256947229
2/10/03 to 2/17/03,2003-02-14,82.370003,84.199997,81.82,84.150002,59580900,Friday,2003-02-18,84.529999,85.800003,84.389999,85.629997,39492700,Tuesday,1,0.45157099342671797,1,1.7587581281340938
2/17/03 to 2/24/03,2003-02-21,84.379997,85.739998,83.459999,85.18,60955800,Friday,2003-02-24,84.93,85.0,83.589996,83.800003,30628600,Monday,0,-0.29349612585113877,0,-1.620095092744779
2/24/03 to 3/3/03,2003-02-28,84.470001,85.230003,84.160004,84.900002,43666800,Friday,2003-03-03,85.260002,85.779999,83.720001,84.089996,42923100,Monday,1,0.42402825856234894,0,-0.9540706489029309
3/3/03 to 3/10/03,2003-03-07,81.610001,83.989998,81.43,83.32,63538000,Friday,2003-03-10,82.599998,82.860001,81.099998,81.32,41014100,Monday,0,-0.8641406625059936,0,-2.400384061449832
3/10/03 to 3/17/03,2003-03-14,84.199997,84.769997,83.349998,84.129997,63951800,Friday,2003-03-17,83.459999,86.949997,83.220001,86.779999,88217500,Monday,0,-0.796384195758389,1,3.149889569115283
3/17/03 to 3/24/03,2003-03-21,88.800003,89.879997,87.93,89.669998,71165300,Friday,2003-03-24,88.019997,88.139999,86.349998,86.690002,65398900,Monday,0,-1.8400814506542122,0,-3.323292145049451
3/24/03 to 3/31/03,2003-03-28,86.470001,87.279999,86.25,86.709999,32583000,Friday,2003-03-31,85.349998,86.589996,84.400002,84.739998,61119500,Monday,0,-1.5684477173157356,0,-2.271942132071754
3/31/03 to 4/7/03,2003-04-04,88.43,88.589996,87.620003,88.220001,36250100,Friday,2003-04-07,90.339996,90.849998,87.970001,88.050003,69776200,Monday,1,2.403077506199533,0,-0.1926977987678696
