PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,MondayOpenToFridayCloseRatio,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay,NFPDayOrNot,NFPOutcome,CSIOutcome,CSIActualMinusExpected,CSIDayOrNot,wasItFOMCWeek,FOMCMeetingDate,FOMCAction,FOMCActualVSExpected,FOMCActionSpecial
1/6/03 to 1/13/03,1/9/03,91.82,93.18,91.410004,92.809998,34804900,Thursday,1/10/03,91.949997,93.639999,91.800003,93.059998,37768900,Friday,1.085160423,1/13/03,93.540001,93.860001,92.440002,93.029999,31649900,Monday,1,0.269367531,1,1.2071789409628768,1,0.5157994952890614,1.005157995,0,-0.032236192,0,0,Shock,,,0,0,,,,
1/20/03 to 1/27/03,1/23/03,88.75,89.379997,87.949997,88.709999,55919800,Thursday,1/24/03,88.589996,88.68,86.169998,86.379997,68633900,Friday,1.227363116,1/27/03,85.730003,86.800003,84.5,85.199997,57884400,Monday,0,-2.626538188,0,-2.494637205,0,-0.752482082,0.992475179,0,-1.366057005,0,0,Baseline,,,0,0,,,,
1/27/03 to 2/3/03,1/30/03,86.790001,86.879997,84.400002,84.43,49845900,Thursday,1/31/03,84.150002,86.209999,84.150002,86.059998,55317000,Friday,1.109760281,2/3/03,86.139999,86.809998,85.919998,86.230003,39696000,Monday,1,1.930591022148509,1,2.2697515800415458,1,0.092959565,1.000929596,1,0.1975424168613195,0,0,Baseline,,,0,0,,,,
2/3/03 to 2/10/03,2/6/03,84.370003,84.889999,83.650002,84.449997,53638000,Thursday,2/7/03,84.910004,84.989998,82.970001,83.419998,43165000,Friday,0.804746635,2/10/03,83.459999,84.129997,82.650002,84.010002,45455900,Monday,0,-1.219655461,0,-1.754806183,1,0.047951332,1.000479513,1,0.707269257,0,0,Upbeat,,,0,0,,,,
2/17/03 to 2/24/03,2/20/03,85.209999,85.419998,84.050003,84.330002,29280100,Thursday,2/21/03,84.379997,85.739998,83.459999,85.18,60955800,Friday,2.08181666,2/24/03,84.93,85,83.589996,83.800003,30628600,Monday,1,1.0079425825224262,1,0.9480955539735368,0,-0.293496126,0.997065039,0,-1.620095093,0,0,Baseline,,,0,0,,,,
2/24/03 to 3/3/03,2/27/03,83.699997,84.75,83.160004,84.339996,51126000,Thursday,2/28/03,84.470001,85.230003,84.160004,84.900002,43666800,Friday,0.854101631,3/3/03,85.260002,85.779999,83.720001,84.089996,42923100,Monday,1,0.6639862776374822,1,0.5090576475783448,1,0.4240282585623489,1.004240283,0,-0.954070649,0,0,Baseline,,,0,0,,,,
3/3/03 to 3/10/03,3/6/03,82.870003,83.519997,82.470001,82.75,41217700,Thursday,3/7/03,81.610001,83.989998,81.43,83.32,63538000,Friday,1.54152221,3/10/03,82.599998,82.860001,81.099998,81.32,41014100,Monday,1,0.6888217522658527,1,2.0953302034636616,0,-0.864140663,0.991358593,0,-2.400384061,0,0,Shock,,,0,0,,,,
3/10/03 to 3/17/03,3/13/03,82.18,83.910004,81.529999,83.860001,72117800,Thursday,3/14/03,84.199997,84.769997,83.349998,84.129997,63951800,Friday,0.886768592,3/17/03,83.459999,86.949997,83.220001,86.779999,88217500,Monday,1,0.3219604063682352,0,-0.083135395,0,-0.796384196,0.992036158,1,3.149889569115283,0,0,Baseline,,,0,0,,,,
3/17/03 to 3/24/03,3/20/03,87.330002,88.589996,86.349998,88.150002,67321600,Thursday,3/21/03,88.800003,89.879997,87.93,89.669998,71165300,Friday,1.057094603,3/24/03,88.019997,88.139999,86.349998,86.690002,65398900,Monday,1,1.7243289455625943,1,0.9797240660003164,0,-1.840081451,0.981599185,0,-3.323292145,1,0,Baseline,,,0,0,,,,
3/24/03 to 3/31/03,3/27/03,86.400002,87.660004,85.989998,87.150002,53120200,Thursday,3/28/03,86.470001,87.279999,86.25,86.709999,32583000,Friday,0.61338248,3/31/03,85.349998,86.589996,84.400002,84.739998,61119500,Monday,0,-0.50488008,1,0.2775505923724922,0,-1.568447717,0.984315523,0,-2.271942132,0,0,Baseline,,,0,0,,,,
3/31/03 to 4/7/03,4/3/03,88.870003,88.989998,87.650002,87.699997,48755500,Thursday,4/4/03,88.43,88.589996,87.620003,88.220001,36250100,Friday,0.743507912,4/7/03,90.339996,90.849998,87.970001,88.050003,69776200,Monday,1,0.5929350259840945,0,-0.237474839,1,2.403077506199533,1.024030775,0,-0.192697799,0,0,Baseline,,,0,0,,,,
4/7/03 to 4/14/03,4/10/03,87.089996,87.629997,85.709999,87.510002,41812400,Thursday,4/11/03,88.160004,88.699997,86.860001,87.150002,47730100,Friday,1.141529785,4/14/03,87.470001,89,87,88.949997,36711700,Monday,0,-0.411381547,0,-1.1456465,1,0.3671818619120578,1.003671819,1,2.065398690409664,0,0,Baseline,,,0,0,,,,
4/21/03 to 4/28/03,4/24/03,91.529999,92.080002,90.959999,91.360001,49692400,Thursday,4/25/03,91.300003,91.470001,90.019997,90.230003,43917200,Friday,0.883781021,4/28/03,90.440002,92.190002,90.300003,91.790001,46432900,Monday,0,-1.236862946,0,-1.171960531,1,0.2327374410039757,1.002327374,1,1.7289127209715458,0,0,Baseline,,,0,0,,,,
4/28/03 to 5/5/03,5/1/03,91.919998,92.730003,90.5,91.900002,50240400,Thursday,5/2/03,91.559998,93.470001,91.489998,93.209999,50201500,Friday,0.999225723,5/5/03,93.470001,93.779999,92.5,93.029999,35437800,Monday,1,1.4254591637549645,1,1.802098117127529,1,0.2789421765791458,1.002789422,0,-0.193112329,0,0,Baseline,,,0,0,,,,
5/5/03 to 5/12/03,5/8/03,92.519997,93.330002,92.279999,92.449997,40570700,Thursday,5/9/03,92.830002,93.800003,92.610001,93.730003,33608100,Friday,0.828383538,5/12/03,93.5,95.120003,93.279999,94.879997,35662300,Monday,1,1.3845387144793528,1,0.9695152220291918,0,-0.245388875,0.997546111,1,1.2269219707589327,0,0,Baseline,,,0,0,,,,
5/12/03 to 5/19/03,5/15/03,94.889999,95.330002,94.25,95.110001,43879200,Thursday,5/16/03,94.889999,95.449997,94.260002,94.870003,38905000,Friday,0.886638772,5/19/03,94.150002,94.419998,92.330002,92.650002,41606000,Monday,0,-0.252337291,0,-0.021072821,0,-0.758934307,0.992410657,0,-2.340045251,0,0,Baseline,,,0,0,,,,
5/26/03 to 6/2/03,5/29/03,95.879997,96.82,95.080002,95.419998,50844200,Thursday,5/30/03,95.900002,97.089996,95.559998,96.949997,52529500,Friday,1.033146357,6/2/03,97.529999,98.449997,96.669998,97.349998,50305500,Monday,1,1.603436420109744,1,1.0948852743506674,1,0.5982486002552506,1.005982486,1,0.4125848503120667,0,0,Baseline,,,0,0,,,,
6/2/03 to 6/9/03,6/5/03,98.580002,99.650002,98.269997,99.650002,46262400,Thursday,6/6/03,100.400002,101.400002,99.129997,99.260002,60356800,Friday,1.304662101,6/9/03,98.769997,99.099998,97.769997,98.25,37808500,Monday,0,-0.391369786,0,-1.135458145,0,-0.49365806,0.995063419,0,-1.017531714,0,0,Baseline,,,0,0,,,,
6/9/03 to 6/16/03,6/12/03,100.75,100.900002,99.620003,100.610001,36442000,Thursday,6/13/03,100.610001,100.75,98.949997,99.559998,48628300,Friday,1.334402612,6/16/03,99.959999,101.699997,99.800003,101.660004,36326300,Monday,0,-1.043636805,0,-1.043636805,1,0.4017687907145229,1.004017688,1,2.109286904565836,0,0,Baseline,,,0,0,,,,
6/16/03 to 6/23/03,6/19/03,101.639999,101.730003,99.839996,100.019997,43551700,Thursday,6/20/03,100.389999,100.5,99.419998,99.440002,41545000,Friday,0.953923727,6/23/03,99.449997,99.660004,97.919998,98.419998,34237500,Monday,0,-0.579879042,0,-0.946306414,1,0.010051287,1.000100513,0,-1.025748169,1,0,Baseline,,,0,0,,,,
6/23/03 to 6/30/03,6/26/03,97.779999,98.980003,96.959999,98.800003,33477300,Thursday,6/27/03,98.75,99.190002,97.580002,97.660004,54208800,Friday,1.619270371,6/30/03,98.220001,98.669998,97.470001,97.629997,33349000,Monday,0,-1.153845107,0,-1.103793418,1,0.5734148853813231,1.005734149,0,-0.030725987,0,0,Baseline,,,0,1,6/25/03,Hike,Match,
7/7/03 to 7/14/03,7/10/03,99.839996,100.040001,98.629997,99.300003,49777700,Thursday,7/11/03,99.389999,100.449997,99.389999,100.239998,39976300,Friday,0.803096567,7/14/03,101.199997,101.900002,100.449997,100.730003,42114900,Monday,1,0.9466213208472876,1,0.8552158250851747,1,0.9577005378631356,1.009577005,1,0.4888318134244142,0,0,Baseline,,,0,0,,,,
7/14/03 to 7/21/03,7/17/03,99.150002,99.879997,98.160004,98.5,52253500,Thursday,7/18/03,99.019997,99.800003,98.459999,99.510002,35698100,Friday,0.683171462,7/21/03,99.449997,99.489998,97.849998,98.279999,34786000,Monday,1,1.025382741116751,1,0.4948545898259282,0,-0.060300471,0.999396995,0,-1.236059668,0,0,Baseline,,,0,0,,,,
7/21/03 to 7/28/03,7/24/03,99.989998,100.339996,98.370003,98.489998,40896200,Thursday,7/25/03,98.660004,100.290001,98.040001,100.230003,43241100,Friday,1.057337846,7/28/03,100.370003,100.980003,99.669998,99.860001,34382800,Monday,1,1.7666819325146057,1,1.5913226599909684,1,0.139678735,1.001396787,0,-0.369152937,0,0,Baseline,,,0,0,,,,
7/28/03 to 8/4/03,7/31/03,99.980003,100.910004,99.169998,99.389999,54937200,Thursday,8/1/03,99.190002,99.529999,98.239998,98.510002,49321000,Friday,0.897770545,8/4/03,98.309998,99,97,98.510002,55214100,Monday,0,-0.885397936,0,-0.685552965,0,-0.20302913,0.997969709,0,0,0,0,Baseline,Baseline,0.4000000000000057,1,0,,,,
8/4/03 to 8/11/03,8/7/03,97.169998,98.07,96.760002,98,43427400,Thursday,8/8/03,98.32,98.550003,97.760002,98.279999,27357300,Friday,0.629954821,8/11/03,98.260002,99.040001,97.839996,98.650002,34631400,Monday,1,0.2857132653061262,0,-0.0406845,0,-0.020346968,0.99979653,1,0.3764784328090977,0,0,Baseline,,,0,0,,,,
