ReleaseDate,DayOfTheWeekOfFOMCDecisionDay,Actual,Forecast,Previous,FOMCAction,FOMCActualVSExpected
13-Dec-23,Wed,5.50%,5.50%,5.50%,Pause,Match
1-Nov-23,Wed,5.50%,5.50%,5.50%,Pause,Match
20-Sep-23,Wed,5.50%,5.50%,5.50%,Pause,Match
26-Jul-23,Wed,5.50%,5.50%,5.25%,Hike,Match
14-Jun-23,Wed,5.25%,5.25%,5.25%,Pause,Match
3-May-23,Wed,5.25%,5.25%,5.00%,Hike,Match
22-Mar-23,Wed,5.00%,5.00%,4.75%,Hike,Match
1-Feb-23,Wed,4.75%,4.75%,4.50%,Hike,Match
14-Dec-22,Wed,4.50%,4.50%,4.00%,SuperHike,Match
2-Nov-22,Wed,4.00%,4.00%,3.25%,SuperHike,Match
21-Sep-22,Wed,3.25%,3.25%,2.50%,SuperHike,Match
27-Jul-22,Wed,2.50%,2.50%,1.75%,SuperHike,Match
15-Jun-22,Wed,1.75%,1.50%,1.00%,SuperHike,Hawkish
4-May-22,Wed,1.00%,1.00%,0.50%,SuperHike,Match
16-Mar-22,Wed,0.50%,0.50%,0.25%,SuperHike,Match
26-Jan-22,Wed,0.25%,0.25%,0.25%,Pause,Match
15-Dec-21,Wed,0.25%,0.25%,0.25%,Pause,Match
3-Nov-21,Wed,0.25%,0.25%,0.25%,Pause,Match
22-Sep-21,Wed,0.25%,0.25%,0.25%,Pause,Match
28-Jul-21,Wed,0.25%,0.25%,0.25%,Pause,Match
16-Jun-21,Wed,0.25%,0.25%,0.25%,Pause,Match
28-Apr-21,Wed,0.25%,0.25%,0.25%,Pause,Match
17-Mar-21,Wed,0.25%,0.25%,0.25%,Pause,Match
27-Jan-21,Wed,0.25%,0.25%,0.25%,Pause,Match
16-Dec-20,Wed,0.25%,0.25%,0.25%,Pause,Match
5-Nov-20,Thu,0.25%,0.25%,0.25%,Pause,Match
16-Sep-20,Wed,0.25%,0.25%,0.25%,Pause,Match
29-Jul-20,Wed,0.25%,0.25%,0.25%,Pause,Match
10-Jun-20,Wed,0.25%,0.25%,0.25%,Pause,Match
29-Apr-20,Wed,0.25%,0.25%,0.25%,#REF!,Match
3-Mar-20,Tue,1.25%,1.25%,1.75%,SuperCut,Match
29-Jan-20,Wed,1.75%,1.75%,1.75%,Pause,Match
11-Dec-19,Wed,1.75%,1.75%,1.75%,Pause,Match
30-Oct-19,Wed,1.75%,1.75%,2.00%,Cut,Match
18-Sep-19,Wed,2.00%,2.00%,2.25%,Cut,Match
31-Jul-19,Wed,2.25%,2.25%,2.50%,Cut,Match
19-Jun-19,Wed,2.50%,2.50%,2.50%,Pause,Match
1-May-19,Wed,2.50%,2.50%,2.50%,Pause,Match
20-Mar-19,Wed,2.50%,2.50%,2.50%,Pause,Match
30-Jan-19,Wed,2.50%,2.50%,2.50%,Pause,Match
19-Dec-18,Wed,2.50%,2.50%,2.25%,Hike,Match
8-Nov-18,Thu,2.25%,2.25%,2.25%,Pause,Match
26-Sep-18,Wed,2.25%,2.25%,2.00%,Hike,Match
1-Aug-18,Wed,2.00%,2.00%,2.00%,Pause,Match
13-Jun-18,Wed,2.00%,2.00%,1.75%,Hike,Match
2-May-18,Wed,1.75%,1.75%,1.75%,Pause,Match
21-Mar-18,Wed,1.75%,1.75%,1.50%,Hike,Match
31-Jan-18,Wed,1.50%,1.50%,1.50%,Pause,Match
13-Dec-17,Wed,1.50%,1.50%,1.25%,Hike,Match
1-Nov-17,Wed,1.25%,1.25%,1.25%,Pause,Match
20-Sep-17,Wed,1.25%,1.25%,1.25%,Pause,Match
26-Jul-17,Wed,1.25%,1.25%,1.25%,Pause,Match
14-Jun-17,Wed,1.25%,1.25%,1.00%,Hike,Match
