ReleaseDate,Actual,Forecast,Previous
2023-12-08,199000.0,180000.0,150000.0
2023-11-03,150000.0,180000.0,297000.0
2023-10-06,336000.0,170000.0,227000.0
2023-09-01,187000.0,170000.0,157000.0
2023-08-04,187000.0,200000.0,185000.0
2023-07-07,209000.0,225000.0,306000.0
2023-06-02,339000.0,180000.0,294000.0
2023-05-05,253000.0,180000.0,165000.0
2023-04-07,236000.0,239000.0,326000.0
2023-03-10,311000.0,205000.0,504000.0
2023-02-03,517000.0,185000.0,260000.0
2023-01-06,223000.0,200000.0,256000.0
2022-12-02,263000.0,200000.0,284000.0
2022-11-04,261000.0,200000.0,315000.0
2022-10-07,263000.0,250000.0,315000.0
2022-09-02,315000.0,300000.0,526000.0
2022-08-05,528000.0,250000.0,398000.0
2022-07-08,372000.0,268000.0,384000.0
2022-06-03,390000.0,325000.0,436000.0
2022-05-06,428000.0,391000.0,428000.0
2022-04-01,431000.0,490000.0,750000.0
2022-03-04,678000.0,400000.0,481000.0
2022-02-04,467000.0,150000.0,510000.0
2022-01-07,199000.0,400000.0,249000.0
2021-12-03,210000.0,550000.0,546000.0
2021-11-05,531000.0,450000.0,312000.0
2021-10-08,194000.0,500000.0,366000.0
2021-09-03,235000.0,750000.0,1053000.0
2021-08-06,943000.0,870000.0,938000.0
2021-07-02,850000.0,700000.0,583000.0
2021-06-04,559000.0,650000.0,278000.0
2021-05-07,266000.0,978000.0,770000.0
2021-04-02,916000.0,647000.0,468000.0
2021-03-05,379000.0,182000.0,166000.0
2021-02-05,49000.0,50000.0,-227000.0
2021-01-08,-140000.0,71000.0,336000.0
2020-12-04,245000.0,469000.0,610000.0
2020-11-06,638000.0,600000.0,672000.0
2020-10-02,661000.0,850000.0,1489000.0
2020-09-04,1371000.0,1400000.0,1734000.0
2020-08-07,1763000.0,1600000.0,4791000.0
2020-07-02,4800000.0,3000000.0,2699000.0
2020-06-05,2509000.0,-8000000.0,-20687000.0
