ReleaseDate,Actual,Forecast,Previous,ExpectionDefyingNFP,actualVSForecastedInPercent
2023-12-08,199000.0,180000.0,150000.0,Nonprovoking,10.555555555555555
2023-11-03,150000.0,180000.0,297000.0,Nonprovoking,-16.666666666666664
2023-10-06,336000.0,170000.0,227000.0,Upbeat,97.6470588235294
2023-09-01,187000.0,170000.0,157000.0,Nonprovoking,10.0
2023-08-04,187000.0,200000.0,185000.0,Nonprovoking,-6.5
2023-07-07,209000.0,225000.0,306000.0,Nonprovoking,-7.111111111111111
2023-06-02,339000.0,180000.0,294000.0,Upbeat,88.33333333333333
2023-05-05,253000.0,180000.0,165000.0,Nonprovoking,40.55555555555556
2023-04-07,236000.0,239000.0,326000.0,Nonprovoking,-1.2552301255230125
2023-03-10,311000.0,205000.0,504000.0,Upbeat,51.707317073170735
2023-02-03,517000.0,185000.0,260000.0,Upbeat,179.45945945945948
2023-01-06,223000.0,200000.0,256000.0,Nonprovoking,11.5
2022-12-02,263000.0,200000.0,284000.0,Nonprovoking,31.5
2022-11-04,261000.0,200000.0,315000.0,Nonprovoking,30.5
2022-10-07,263000.0,250000.0,315000.0,Nonprovoking,5.2
2022-09-02,315000.0,300000.0,526000.0,Nonprovoking,5.0
2022-08-05,528000.0,250000.0,398000.0,Upbeat,111.20000000000002
2022-07-08,372000.0,268000.0,384000.0,Nonprovoking,38.80597014925373
2022-06-03,390000.0,325000.0,436000.0,Nonprovoking,20.0
2022-05-06,428000.0,391000.0,428000.0,Nonprovoking,9.462915601023019
2022-04-01,431000.0,490000.0,750000.0,Nonprovoking,-12.040816326530612
2022-03-04,678000.0,400000.0,481000.0,Upbeat,69.5
2022-02-04,467000.0,150000.0,510000.0,Upbeat,211.33333333333331
2022-01-07,199000.0,400000.0,249000.0,Shock,-50.24999999999999
2021-12-03,210000.0,550000.0,546000.0,Shock,-61.81818181818181
2021-11-05,531000.0,450000.0,312000.0,Nonprovoking,18.0
2021-10-08,194000.0,500000.0,366000.0,Shock,-61.199999999999996
2021-09-03,235000.0,750000.0,1053000.0,Shock,-68.66666666666667
2021-08-06,943000.0,870000.0,938000.0,Nonprovoking,8.39080459770115
2021-07-02,850000.0,700000.0,583000.0,Nonprovoking,21.428571428571427
2021-06-04,559000.0,650000.0,278000.0,Nonprovoking,-14.000000000000002
2021-05-07,266000.0,978000.0,770000.0,Shock,-72.80163599182005
2021-04-02,916000.0,647000.0,468000.0,Nonprovoking,41.57650695517774
2021-03-05,379000.0,182000.0,166000.0,Upbeat,108.24175824175823
2021-02-05,49000.0,50000.0,-227000.0,Nonprovoking,-2.0
2021-01-08,-140000.0,71000.0,336000.0,Shock,-297.1830985915493
2020-12-04,245000.0,469000.0,610000.0,Nonprovoking,-47.76119402985074
2020-11-06,638000.0,600000.0,672000.0,Nonprovoking,6.333333333333334
2020-10-02,661000.0,850000.0,1489000.0,Nonprovoking,-22.235294117647058
2020-09-04,1371000.0,1400000.0,1734000.0,Nonprovoking,-2.071428571428571
2020-08-07,1763000.0,1600000.0,4791000.0,Nonprovoking,10.1875
2020-07-02,4800000.0,3000000.0,2699000.0,Upbeat,60.0
2020-06-05,2509000.0,-8000000.0,-20687000.0,Upbeat,131.3625
2020-05-08,-20537000.0,-22000000.0,-870000.0,Nonprovoking,6.65
2020-04-03,-701000.0,-100000.0,275000.0,Shock,-601.0
2020-03-06,273000.0,175000.0,273000.0,Upbeat,56.00000000000001
2020-02-07,225000.0,160000.0,147000.0,Nonprovoking,40.625
2020-01-10,145000.0,164000.0,256000.0,Nonprovoking,-11.585365853658537
2019-12-06,266000.0,186000.0,156000.0,Nonprovoking,43.01075268817204
2019-11-01,128000.0,89000.0,180000.0,Nonprovoking,43.82022471910113
2019-10-04,136000.0,140000.0,168000.0,Nonprovoking,-2.857142857142857
2019-09-06,130000.0,160000.0,159000.0,Nonprovoking,-18.75
2019-08-02,164000.0,164000.0,193000.0,Nonprovoking,0.0
2019-07-05,224000.0,160000.0,72000.0,Nonprovoking,40.0
2019-06-07,75000.0,185000.0,224000.0,Shock,-59.45945945945946
2019-05-03,263000.0,181000.0,189000.0,Nonprovoking,45.30386740331492
2019-04-05,196000.0,175000.0,33000.0,Nonprovoking,12.0
2019-03-08,20000.0,181000.0,311000.0,Shock,-88.95027624309392
2019-02-01,304000.0,165000.0,222000.0,Upbeat,84.24242424242424
2019-01-04,312000.0,178000.0,176000.0,Upbeat,75.28089887640449
2018-12-07,155000.0,200000.0,237000.0,Nonprovoking,-22.5
2018-11-02,250000.0,193000.0,118000.0,Nonprovoking,29.533678756476682
2018-10-05,134000.0,185000.0,270000.0,Nonprovoking,-27.56756756756757
2018-09-07,201000.0,191000.0,147000.0,Nonprovoking,5.2356020942408374
2018-08-03,157000.0,193000.0,248000.0,Nonprovoking,-18.65284974093264
2018-07-06,213000.0,200000.0,244000.0,Nonprovoking,6.5
2018-06-01,223000.0,189000.0,159000.0,Nonprovoking,17.989417989417987
2018-05-04,164000.0,189000.0,135000.0,Nonprovoking,-13.227513227513226
2018-04-06,103000.0,193000.0,326000.0,Nonprovoking,-46.63212435233161
2018-03-09,313000.0,200000.0,239000.0,Upbeat,56.49999999999999
2018-02-02,200000.0,184000.0,160000.0,Nonprovoking,8.695652173913043
2018-01-05,148000.0,190000.0,252000.0,Nonprovoking,-22.105263157894736
2017-12-08,228000.0,200000.0,244000.0,Nonprovoking,14.000000000000002
2017-11-03,261000.0,310000.0,18000.0,Nonprovoking,-15.806451612903224
2017-10-06,-33000.0,90000.0,169000.0,Shock,-136.66666666666666
2017-09-01,156000.0,180000.0,189000.0,Nonprovoking,-13.333333333333334
2017-08-04,209000.0,183000.0,231000.0,Nonprovoking,14.207650273224044
2017-07-07,222000.0,179000.0,152000.0,Nonprovoking,24.022346368715084
2017-06-02,138000.0,185000.0,174000.0,Nonprovoking,-25.405405405405407
2017-05-05,211000.0,185000.0,79000.0,Nonprovoking,14.054054054054054
2017-04-07,98000.0,180000.0,219000.0,Nonprovoking,-45.55555555555556
2017-03-10,235000.0,200000.0,238000.0,Nonprovoking,17.5
2017-02-03,227000.0,175000.0,157000.0,Nonprovoking,29.714285714285715
