ReleaseDate,Actual,Forecast,Previous
11/10/23,60.4,63.7,63.8
10/27/23,63.8,63,68.1
10/13/23,63,67.2,68.1
9/29/23,68.1,67.7,69.5
9/15/23,67.7,69.1,69.5
8/25/23,69.5,71.2,71.6
8/11/23,71.2,71,71.6
7/28/23,71.6,72.6,64.4
7/14/23,72.6,65.5,64.4
6/30/23,64.4,63.9,59.2
6/16/23,63.9,60,59.2
5/26/23,59.2,57.9,63.5
5/12/23,57.7,63,63.5
4/28/23,63.5,63.5,63.5
4/14/23,63.5,62,62
3/31/23,62,63.2,63.4
3/17/23,63.4,66.9,67
2/24/23,67,66.4,64.9
2/10/23,66.4,65,64.9
1/27/23,64.9,64.6,59.7
1/13/23,64.6,60.5,59.7
12/23/22,59.7,59.1,59.1
12/9/22,59.1,56.9,56.8
11/11/22,54.7,59.5,59.9
10/28/22,59.9,59.8,59.8
10/14/22,59.8,59,58.6
9/30/22,58.6,59.5,59.5
9/16/22,59.5,60,58.2
8/26/22,58.2,55.1,51.5
8/12/22,55.1,52.5,51.5
7/29/22,51.5,51.1,50
7/15/22,51.1,49.9,50
6/24/22,50,50.2,50.2
6/10/22,50.2,58,58.4
5/27/22,58.4,59.1,65.2
5/13/22,59.1,64,65.2
4/29/22,65.2,65.7,59.4
3/25/22,59.4,59.7,62.8
3/11/22,59.7,61.4,62.8
2/25/22,62.8,61.7,67.2
2/11/22,61.7,67.5,67.2
1/28/22,67.2,68.7,70.6
1/14/22,68.8,70,70.6
12/10/21,70.4,67.1,67.4
11/12/21,66.8,72.4,71.7
10/29/21,71.7,71.4,71.4
10/15/21,71.4,73.1,72.8
10/1/21,72.8,71,70.3
9/17/21,71,72,70.3
8/27/21,70.3,70.7,70.2
8/13/21,70.2,81.2,81.2
7/30/21,81.2,80.8,85.5
7/16/21,80.8,86.5,85.5
6/25/21,85.5,86.4,82.9
6/11/21,86.4,84,82.9
5/28/21,82.9,82.8,88.3
5/14/21,82.8,90.4,88.3
4/30/21,88.3,87.4,86.5
4/16/21,86.5,89.6,84.9
3/26/21,84.9,83.6,83
3/12/21,83,78.5,76.8
2/26/21,76.8,76.5,79
2/12/21,76.2,80.8,79
1/29/21,79,79.2,79.2
1/15/21,79.2,80,80.7
12/11/20,81.4,76.5,76.9
11/13/20,77,82,81.8
10/30/20,81.8,81.2,80.4
10/16/20,81.2,80.5,80.4
10/2/20,80.4,79,74.1
9/18/20,78.9,75,74.1
8/28/20,74.1,72.8,72.5
8/14/20,72.8,72,72.5
7/31/20,72.5,73,73.2
7/17/20,73.2,79,78.1
6/26/20,78.1,79,72.3
6/12/20,78.9,75,72.3
5/29/20,72.3,74,71.8
5/15/20,73.7,68,71.8
4/24/20,71.8,68,89.1
3/27/20,89.1,90,95.9
3/13/20,95.9,95,101
2/28/20,101,100.9,99.8
2/14/20,100.9,99.5,99.8
1/31/20,99.8,99.1,99.3
1/17/20,99.1,99.3,99.3
12/20/19,99.3,99.2,96.8
12/6/19,99.2,97,96.8
11/22/19,96.8,95.7,95.5
11/8/19,95.7,95.9,95.5
10/25/19,95.5,96,93.2
10/11/19,96,92,93.2
9/27/19,93.2,92,89.8
9/13/19,92,90.9,89.8
8/30/19,89.8,92.1,92.1
8/16/19,92.1,97.2,98.4
8/2/19,98.4,98.5,98.4
7/19/19,98.4,98.6,98.2
6/28/19,98.2,98,97.9
6/14/19,97.9,98.1,100
5/31/19,100,102,102.4
5/17/19,102.4,97.8,97.2
4/26/19,97.2,97.1,96.9
4/12/19,96.9,98.1,98.4
3/29/19,98.4,97.8,97.8
3/15/19,97.8,95.3,93.8
3/1/19,93.8,95.8,95.5
2/15/19,95.5,93.3,91.2
2/1/19,91.2,90.8,90.7
1/18/19,90.7,97,98.3
12/21/18,98.3,97.6,97.5
12/7/18,97.5,97.1,97.5
11/9/18,98.3,98,98.6
10/26/18,98.6,99,99
10/12/18,99,100.4,100.1
9/28/18,100.1,100.5,100.8
9/14/18,100.8,96.7,96.2
8/31/18,96.2,95.5,95.3
8/17/18,95.3,98.1,97.9
7/27/18,97.9,97.1,97.1
7/13/18,97.1,98.1,98.2
6/29/18,98.2,99.2,99.3
6/15/18,99.3,98.5,98
5/25/18,98,98.8,98.8
5/11/18,98.8,98.5,98.8
4/27/18,98.8,98,97.8
4/13/18,97.8,100.6,101.4
3/16/18,102,99.3,99.7
3/2/18,99.7,99.5,95.7
2/16/18,99.9,95.4,95.7
2/2/18,95.7,95,94.4
1/19/18,94.4,97,95.9
12/22/17,95.9,97.1,96.8
12/8/17,96.8,99.2,98.5
11/10/17,97.8,100.7,100.7
10/27/17,100.7,100.9,101.1
10/13/17,101.1,95,95.1
9/29/17,95.1,95.3,95.3
9/15/17,95.3,95.1,96.8
9/1/17,96.8,97.4,97.6
8/18/17,97.6,94,93.4
7/28/17,93.4,93.1,93.1
7/14/17,93.1,95,95.1
6/30/17,95.1,94.5,94.5
6/16/17,94.5,97.1,97.1
5/26/17,97.1,97.5,97.7
5/12/17,97.7,97,97
4/28/17,97,98,98
3/31/17,96.9,97.6,97.6
3/17/17,97.6,97,95.7
2/24/17,96.3,96,95.7
2/10/17,95.7,97.9,98.5
1/27/17,98.5,98.1,98.1
1/13/17,98.1,98.5,98.2
12/23/16,98.2,98,98
12/9/16,98,94.5,93.8
11/11/16,91.6,87.5,87.2
10/28/16,87.2,88.1,87.9
10/14/16,87.9,91.9,91.2
9/30/16,91.2,90,89.8
9/16/16,89.8,90.8,89.8
8/26/16,89.8,90.6,90.4
8/12/16,90.4,91.5,90
7/29/16,90,90.5,89.5
7/15/16,89.5,93.5,93.5
6/24/16,93.5,94,94.3
6/10/16,94.3,94,94.7
5/27/16,94.7,95.4,95.8
5/13/16,95.8,90,89
4/29/16,89,90,89.7
4/15/16,89.7,92,91
4/1/16,91,90.5,90
3/18/16,90,92.2,91.7
2/26/16,91.7,91,90.7
2/12/16,90.7,92,92
1/29/16,92,93,93.3
1/15/16,93.3,93,92.6
12/11/15,91.8,92,91.3
11/13/15,93.1,91.5,90
10/30/15,90,92.5,92.1
10/16/15,92.1,89,87.2
9/25/15,87.2,86.7,85.7
9/11/15,85.7,91.2,91.9
8/28/15,91.9,93,92.9
8/14/15,92.9,93.5,93.1
7/31/15,93.1,94,93.3
7/17/15,93.3,96.1,96.1
6/26/15,96.1,94.6,94.6
6/12/15,94.6,91.5,90.7
