ReleaseDate,Actual,Forecast,Previous,ActualMinusForecast,UMichCSIOutcome
11/10/23,60.4,63.7,63.8,-3.3000000000000043,Baseline
10/27/23,63.8,63.0,68.1,0.7999999999999972,Baseline
10/13/23,63.0,67.2,68.1,-4.200000000000003,Baseline
9/29/23,68.1,67.7,69.5,0.3999999999999915,Baseline
9/15/23,67.7,69.1,69.5,-1.3999999999999915,Baseline
8/25/23,69.5,71.2,71.6,-1.7000000000000028,Baseline
8/11/23,71.2,71.0,71.6,0.20000000000000284,Baseline
7/28/23,71.6,72.6,64.4,-1.0,Baseline
7/14/23,72.6,65.5,64.4,7.099999999999994,Upbeat
6/30/23,64.4,63.9,59.2,0.5000000000000071,Baseline
6/16/23,63.9,60.0,59.2,3.8999999999999986,Baseline
5/26/23,59.2,57.9,63.5,1.3000000000000043,Baseline
5/12/23,57.7,63.0,63.5,-5.299999999999997,Shock
4/28/23,63.5,63.5,63.5,0.0,Baseline
4/14/23,63.5,62.0,62.0,1.5,Baseline
3/31/23,62.0,63.2,63.4,-1.2000000000000028,Baseline
3/17/23,63.4,66.9,67.0,-3.500000000000007,Baseline
2/24/23,67.0,66.4,64.9,0.5999999999999943,Baseline
2/10/23,66.4,65.0,64.9,1.4000000000000057,Baseline
1/27/23,64.9,64.6,59.7,0.30000000000001137,Baseline
1/13/23,64.6,60.5,59.7,4.099999999999994,Baseline
12/23/22,59.7,59.1,59.1,0.6000000000000014,Baseline
12/9/22,59.1,56.9,56.8,2.200000000000003,Baseline
11/11/22,54.7,59.5,59.9,-4.799999999999997,Baseline
10/28/22,59.9,59.8,59.8,0.10000000000000142,Baseline
10/14/22,59.8,59.0,58.6,0.7999999999999972,Baseline
9/30/22,58.6,59.5,59.5,-0.8999999999999986,Baseline
9/16/22,59.5,60.0,58.2,-0.5,Baseline
8/26/22,58.2,55.1,51.5,3.1000000000000014,Baseline
8/12/22,55.1,52.5,51.5,2.6000000000000014,Baseline
7/29/22,51.5,51.1,50.0,0.3999999999999986,Baseline
7/15/22,51.1,49.9,50.0,1.2000000000000028,Baseline
6/24/22,50.0,50.2,50.2,-0.20000000000000284,Baseline
6/10/22,50.2,58.0,58.4,-7.799999999999997,Shock
5/27/22,58.4,59.1,65.2,-0.7000000000000028,Baseline
5/13/22,59.1,64.0,65.2,-4.899999999999999,Baseline
4/29/22,65.2,65.7,59.4,-0.5,Baseline
3/25/22,59.4,59.7,62.8,-0.30000000000000426,Baseline
3/11/22,59.7,61.4,62.8,-1.6999999999999957,Baseline
2/25/22,62.8,61.7,67.2,1.0999999999999943,Baseline
2/11/22,61.7,67.5,67.2,-5.799999999999997,Shock
1/28/22,67.2,68.7,70.6,-1.5,Baseline
1/14/22,68.8,70.0,70.6,-1.2000000000000028,Baseline
12/10/21,70.4,67.1,67.4,3.3000000000000114,Baseline
11/12/21,66.8,72.4,71.7,-5.6000000000000085,Shock
10/29/21,71.7,71.4,71.4,0.29999999999999716,Baseline
10/15/21,71.4,73.1,72.8,-1.6999999999999886,Baseline
10/1/21,72.8,71.0,70.3,1.7999999999999972,Baseline
9/17/21,71.0,72.0,70.3,-1.0,Baseline
8/27/21,70.3,70.7,70.2,-0.4000000000000057,Baseline
8/13/21,70.2,81.2,81.2,-11.0,Shock
7/30/21,81.2,80.8,85.5,0.4000000000000057,Baseline
7/16/21,80.8,86.5,85.5,-5.700000000000003,Shock
6/25/21,85.5,86.4,82.9,-0.9000000000000057,Baseline
6/11/21,86.4,84.0,82.9,2.4000000000000057,Baseline
5/28/21,82.9,82.8,88.3,0.10000000000000853,Baseline
5/14/21,82.8,90.4,88.3,-7.6000000000000085,Shock
4/30/21,88.3,87.4,86.5,0.8999999999999915,Baseline
