ReleaseDate,Actual,Forecast,Previous
"Dec 08, 2023 (Dec)",69.4,62,61.3
"Nov 22, 2023 (Nov)",61.3,60.4,63.8
"Nov 10, 2023 (Nov)",60.4,63.7,63.8
"Oct 27, 2023 (Oct)",63.8,63,68.1
"Oct 13, 2023 (Oct)",63,67.2,68.1
"Sep 29, 2023 (Sep)",68.1,67.7,69.5
"Sep 15, 2023 (Sep)",67.7,69.1,69.5
"Aug 25, 2023 (Aug)",69.5,71.2,71.6
"Aug 11, 2023 (Aug)",71.2,71,71.6
"Jul 28, 2023 (Jul)",71.6,72.6,64.4
"Jul 14, 2023 (Jul)",72.6,65.5,64.4
"Jun 30, 2023 (Jun)",64.4,63.9,59.2
"Jun 16, 2023 (Jun)",63.9,60,59.2
"May 26, 2023 (May)",59.2,57.9,63.5
"May 12, 2023 (May)",57.7,63,63.5
"Apr 28, 2023 (Apr)",63.5,63.5,63.5
"Apr 14, 2023 (Apr)",63.5,62,62
"Mar 31, 2023 (Mar)",62,63.2,63.4
"Mar 17, 2023 (Mar)",63.4,66.9,67
"Feb 24, 2023 (Feb)",67,66.4,64.9
"Feb 10, 2023 (Feb)",66.4,65,64.9
"Jan 27, 2023 (Jan)",64.9,64.6,59.7
"Jan 13, 2023 (Jan)",64.6,60.5,59.7
"Dec 23, 2022 (Dec)",59.7,59.1,59.1
"Dec 09, 2022 (Dec)",59.1,56.9,56.8
"Nov 23, 2022 (Nov)",56.8,55,54.7
"Nov 11, 2022 (Nov)",54.7,59.5,59.9
"Oct 28, 2022 (Oct)",59.9,59.8,59.8
"Oct 14, 2022 (Oct)",59.8,59,58.6
"Sep 30, 2022 (Sep)",58.6,59.5,59.5
"Sep 16, 2022 (Sep)",59.5,60,58.2
"Aug 26, 2022 (Aug)",58.2,55.1,51.5
"Aug 12, 2022 (Aug)",55.1,52.5,51.5
"Jul 29, 2022 (Jul)",51.5,51.1,50
"Jul 15, 2022 (Jul)",51.1,49.9,50
"Jun 24, 2022 (Jun)",50,50.2,50.2
"Jun 10, 2022 (Jun)",50.2,58,58.4
"May 27, 2022 (May)",58.4,59.1,65.2
"May 13, 2022 (May)",59.1,64,65.2
"Apr 29, 2022 (Apr)",65.2,65.7,59.4
"Apr 14, 2022 (Apr)",65.7,59,59.4
"Mar 25, 2022 (Mar)",59.4,59.7,62.8
"Mar 11, 2022 (Mar)",59.7,61.4,62.8
"Feb 25, 2022 (Feb)",62.8,61.7,67.2
"Feb 11, 2022 (Feb)",61.7,67.5,67.2
"Jan 28, 2022 (Jan)",67.2,68.7,70.6
"Jan 14, 2022 (Jan)",68.8,70,70.6
"Dec 23, 2021 (Dec)",70.6,70.4,67.4
"Dec 10, 2021 (Dec)",70.4,67.1,67.4
"Nov 24, 2021 (Nov)",67.4,66.8,71.7
"Nov 12, 2021 (Nov)",66.8,72.4,71.7
"Oct 29, 2021 (Oct)",71.7,71.4,71.4
"Oct 15, 2021 (Oct)",71.4,73.1,72.8
"Oct 01, 2021 (Sep)",72.8,71,70.3
"Sep 17, 2021 (Sep)",71,72,70.3
"Aug 27, 2021 (Aug)",70.3,70.7,70.2
"Aug 13, 2021 (Aug)",70.2,81.2,81.2
"Jul 30, 2021 (Jul)",81.2,80.8,85.5
"Jul 16, 2021 (Jul)",80.8,86.5,85.5
"Jun 25, 2021 (Jun)",85.5,86.4,82.9
"Jun 11, 2021 (Jun)",86.4,84,82.9
"May 28, 2021 (May)",82.9,82.8,88.3
"May 14, 2021 (May)",82.8,90.4,88.3
"Apr 30, 2021 (Apr)",88.3,87.4,86.5
"Apr 16, 2021 (Apr)",86.5,89.6,84.9
"Mar 26, 2021 (Mar)",84.9,83.6,83
"Mar 12, 2021 (Mar)",83,78.5,76.8
"Feb 26, 2021 (Feb)",76.8,76.5,79
"Feb 12, 2021 (Feb)",76.2,80.8,79
"Jan 29, 2021 (Jan)",79,79.2,79.2
"Jan 15, 2021 (Jan)",79.2,80,80.7
"Dec 23, 2020 (Dec)",80.7,81.3,76.9
"Dec 11, 2020 (Dec)",81.4,76.5,76.9
"Nov 25, 2020 (Nov)",76.9,77,81.8
"Nov 13, 2020 (Nov)",77,82,81.8
"Oct 30, 2020 (Oct)",81.8,81.2,80.4
"Oct 16, 2020 (Oct)",81.2,80.5,80.4
"Oct 02, 2020 (Sep)",80.4,79,74.1
"Sep 18, 2020 (Sep)",78.9,75,74.1
"Aug 28, 2020 (Aug)",74.1,72.8,72.5
"Aug 14, 2020 (Aug)",72.8,72,72.5
"Jul 31, 2020 (Jul)",72.5,73,73.2
"Jul 17, 2020 (Jul)",73.2,79,78.1
"Jun 26, 2020 (Jun)",78.1,79,72.3
"Jun 12, 2020 (Jun)",78.9,75,72.3
"May 29, 2020 (May)",72.3,74,71.8
"May 15, 2020 (May)",73.7,68,71.8
"Apr 24, 2020 (Apr)",71.8,68,89.1
"Apr 09, 2020 (Apr)",71,75,89.1
"Mar 27, 2020 (Mar)",89.1,90,95.9
"Mar 13, 2020 (Mar)",95.9,95,101
"Feb 28, 2020 (Feb)",101,100.9,99.8
"Feb 14, 2020 (Feb)",100.9,99.5,99.8
"Jan 31, 2020 (Jan)",99.8,99.1,99.3
"Jan 17, 2020 (Jan)",99.1,99.3,99.3
"Dec 20, 2019 (Dec)",99.3,99.2,96.8
"Dec 06, 2019 (Dec)",99.2,97,96.8
"Nov 22, 2019 (Nov)",96.8,95.7,95.5
"Nov 08, 2019 (Nov)",95.7,95.9,95.5
"Oct 25, 2019 (Oct)",95.5,96,93.2
"Oct 11, 2019 (Oct)",96,92,93.2
"Sep 27, 2019 (Sep)",93.2,92,89.8
"Sep 13, 2019 (Sep)",92,90.9,89.8
"Aug 30, 2019 (Aug)",89.8,92.1,92.1
"Aug 16, 2019 (Aug)",92.1,97.2,98.4
"Aug 02, 2019 (Jul)",98.4,98.5,98.4
"Jul 19, 2019 (Jul)",98.4,98.6,98.2
"Jun 28, 2019 (Jun)",98.2,98,97.9
"Jun 14, 2019 (Jun)",97.9,98.1,100
"May 31, 2019 (May)",100,102,102.4
"May 17, 2019 (May)",102.4,97.8,97.2
"Apr 26, 2019 (Apr)",97.2,97.1,96.9
"Apr 12, 2019 (Apr)",96.9,98.1,98.4
"Mar 29, 2019 (Mar)",98.4,97.8,97.8
"Mar 15, 2019 (Mar)",97.8,95.3,93.8
"Mar 01, 2019 (Feb)",93.8,95.8,95.5
"Feb 15, 2019 (Feb)",95.5,93.3,91.2
"Feb 01, 2019 (Jan)",91.2,90.8,90.7
"Jan 18, 2019 (Jan)",90.7,97,98.3
"Dec 21, 2018 (Dec)",98.3,97.6,97.5
"Dec 07, 2018 (Dec)",97.5,97.1,97.5
"Nov 21, 2018 (Nov)",97.5,98.4,98.3
"Nov 09, 2018 (Nov)",98.3,98,98.6
"Oct 26, 2018 (Oct)",98.6,99,99
"Oct 12, 2018 (Oct)",99,100.4,100.1
