"PrecedingWeekToFollowingWeek","PrecedingWeekThursdayDate","PrecedingWeekThursdayOpen","PrecedingWeekThursdayHigh","PrecedingWeekThursdayLow","PrecedingWeekThursdayClose","PrecedingWeekThursdayVolume","PrecedingWeekThursdayDayOfTheWeek","UnemploymentRateOutcome","wasItPresidentialElectionWeek","PrecedingWeekFridayDate","PrecedingWeekFridayOpen","PrecedingWeekFridayHigh","PrecedingWeekFridayLow","PrecedingWeekFridayClose","PrecedingWeekFridayVolume","PrecedingWeekFridayDayOfTheWeek","PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio","FollowingWeekMondayDate","FollowingWeekMondayOpen","FollowingWeekMondayHigh","FollowingWeekMondayLow","FollowingWeekMondayClose","FollowingWeekMondayVolume","FollowingWeekMondayDayOfTheWeek","didFridayCloseHigherThanThursdayClose","FridayCloseComparedToThursdayCloseChangeInPercent","wasFridayIntradayPositive","FridayIntradayChangeInPercent","WasMondayOpenHigherThanFridayClose","MondayOpenComparedToFridayCloseChangeInPercent","MondayOpenToFridayCloseRatio","WasMondayCloseHigherThanFridayClose","MondayCloseComparedToFridayCloseChangeInPercent","fridayWasATripleWitchDay","NFPDayOrNot","NFPOutcome","CSIOutcome","CSIActualMinusExpected","CSIDayOrNot","wasItFOMCWeek","FOMCMeetingDate","FOMCAction","FOMCActualVSExpected","FOMCActionSpecial","FOMCPivotAction","PrecedingWeekFridayMonth","UnemploymentActualMinusPreviousInPercent","isItLastFridayOfTheMonth","NFPOutcomeIsShock","CSIOutcomeIsShock","PrecedingWeekFridayVolumePrecedingWeekThursdayVolumeRATIO","Month","Monthclose","FridayVolumeMinusThursdayVolume","wasFridayOpenHigherThanThursdayClose","wasFridayHighHigherThanThursdayHigh","wasFridayLowLowerThanThursdayLow","wasFridayHighLowerThanThursdayLow","wasFridayLowHigherThanThursdayHigh","PrecedingWeekFridayHighMinusPrecedingWeekFridayOpen","FridayCloseMinusThursdayHighInPercent","wasFridayCloseHigherThanThursdayHigh","non_random_modelOPEN_predict","mixed_modelOPEN_predict","non_random_modelCLOSE_predict","mixed_modelCLOSE_predict"
"2003-01-06 to 2003-01-13","1/9/03",86.650002,88.019997,86.629997,87.779999,8806000,"Thursday","",0,"1/10/03",86.919998,88.379997,86.699997,87.989998,7426900,"Friday",0.84339087,"1/13/03",88.510002,88.879997,87.580002,88.089996,6227800,"Monday",1,0.23923331327447,1,1.23101705547668,1,0.590980806704871,1.005909808,1,0.113647007924695,0,0,"Shock","",0,0,0,"","","","","","Jan",0,0,1,0,0.843390869861458,"Odd","Odd",-1379100,0,1,1,0,0,1.459999,-0.0340820279737156,0,1,1,1,1
"2003-01-20 to 2003-01-27","1/23/03",83.699997,84.029999,82.690002,83.440002,9120000,"Thursday","",0,"1/24/03",83.300003,83.43,81.18,81.400002,10175000,"Friday",1.115679825,"1/27/03",80.800003,81.800003,79.610001,80.150002,10515700,"Monday",0,-2.444870507,0,-2.280913483,0,-0.73709949,0.992629005,0,-1.535626498,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,0,0,0,1.1156798245614,"Odd","Odd",1055000,0,0,0,0,0,0.129997000000003,-3.12983104998014,0,1,1,1,1
"2003-01-27 to 2003-02-03","1/30/03",81.300003,81.57,79.300003,79.300003,10124300,"Thursday","",0,"1/31/03",79.139999,81.029999,79.139999,80.839996,10294800,"Friday",1.01684067,"2/3/03",80.970001,81.629997,80.82,81.120003,5464800,"Monday",1,1.94198353309015,1,2.14808822527278,1,0.160817672479842,1.001608177,1,0.346371862759614,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,1,0,0,1.01684067046611,"Odd","Odd",170500,0,0,0,0,0,1.89,-0.894941767806784,0,1,1,1,1
"2003-02-03 to 2003-02-10","2/6/03",79.739998,80.150002,79,79.669998,8836300,"Thursday","",0,"2/7/03",80.110001,80.239998,78.400002,78.849998,7624500,"Friday",0.862861152,"2/10/03",78.959999,79.529999,78.099998,79.43,7264700,"Monday",0,-1.029245664,0,-1.572841074,1,0.139506661750324,1.001395067,1,0.735576429564408,0,0,"Upbeat","",0,0,0,"","","","","","Feb",0,0,0,0,0.862861152292249,"Even","Even",-1211800,1,1,0,0,0,0.129997000000003,-1.62196377736834,0,1,1,1,1
"2003-02-17 to 2003-02-24","2/20/03",80.550003,80.720001,79.279999,79.620003,5209100,"Thursday","",0,"2/21/03",79.529999,80.550003,78.550003,80.239998,7826700,"Friday",1.502505231,"2/24/03",79.82,79.949997,78.599998,78.709999,6710800,"Monday",1,0.778692510222592,1,0.892743629985455,0,-0.523427231,0.994765728,0,-1.906778462,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,0,0,0,1.50250523122996,"Even","Even",2617600,0,0,0,0,0,1.020004,-0.594651875685676,0,1,1,1,1
"2003-02-24 to 2003-03-03","2/27/03",78.68,79.459999,77.900002,79.040001,9911300,"Thursday","",0,"2/28/03",79.169998,79.779999,78.620003,79.309998,9119400,"Friday",0.920101299,"3/3/03",79.68,79.93,78.330002,78.589996,7116100,"Monday",1,0.341595390415025,1,0.176834664,1,0.466526301009381,1.004665263,0,-0.907832579,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,1,0,0,0.920101298517853,"Even","Even",-791900,1,1,1,0,0,0.610000999999997,-0.188775486896247,0,1,1,1,1
"2003-03-03 to 2003-03-10","3/6/03",77.330002,77.900002,76.730003,76.870003,8054100,"Thursday","",0,"3/7/03",75.949997,77.580002,75.779999,77.550003,11889500,"Friday",1.476204666,"3/10/03",76.75,77.029999,75.669998,75.779999,7240100,"Monday",1,0.884610346639387,1,2.10665709440384,0,-1.03159635,0.989684037,0,-2.282403522,0,0,"Shock","",0,0,0,"","","","","","Mar",0,0,1,0,1.47620466594654,"Odd","Odd",3835400,0,0,0,0,0,1.630005,-0.449292671391712,0,1,0,1,1
"2003-03-10 to 2003-03-17","3/13/03",76.800003,78.5,76.330002,78.440002,12660000,"Thursday","",0,"3/14/03",78.849998,79.550003,78.150002,78.959999,12985500,"Friday",1.0257109,"3/17/03",78.279999,81.75,77.860001,81.459999,14688600,"Monday",1,0.662923236539425,1,0.139506661750324,0,-0.861195553,0.991388044,1,3.16616012115198,0,0,"Baseline","",0,0,0,"","","","","","Mar",0,0,0,0,1.02571090047393,"Odd","Odd",325500,1,1,1,0,0,0.700005000000004,0.585985987261142,1,0,0,1,1
"2003-03-17 to 2003-03-24","3/20/03",82.300003,83.449997,81.470001,83.120003,14858500,"Thursday","",0,"3/21/03",83.82,85.360001,83.300003,85.129997,17259100,"Friday",1.161564088,"3/24/03",83.449997,83.639999,81.879997,82.239998,16257600,"Monday",1,2.41818326209638,1,1.56286924361729,0,-1.973452437,0.980265476,0,-3.394806886,1,0,"Baseline","",0,0,0,"","","","","","Mar",0,0,0,0,1.16156408789582,"Odd","Odd",2400600,1,1,1,0,0,1.540001,2.01318161820905,1,0,0,0,0
"2003-03-24 to 2003-03-31","3/27/03",81.620003,82.610001,81.169998,82.029999,9004000,"Thursday","",0,"3/28/03",81.550003,82.150002,81.199997,81.57,6382700,"Friday",0.708873834,"3/31/03",80.400002,80.900002,79.379997,79.82,13382600,"Monday",0,-0.560769238,1,0.0245211517649967,0,-1.434348412,0.985656516,0,-2.145396592,0,0,"Baseline","",0,0,0,"","","","","","Mar",0,1,0,0,0.708873833851622,"Odd","Odd",-2621300,0,0,1,0,0,0.599998999999997,-1.25892868588635,0,1,1,1,1
