"PrecedingWeekToFollowingWeek","PrecedingWeekThursdayDate","PrecedingWeekThursdayOpen","PrecedingWeekThursdayHigh","PrecedingWeekThursdayLow","PrecedingWeekThursdayClose","PrecedingWeekThursdayVolume","PrecedingWeekThursdayDayOfTheWeek","PrecedingWeekFridayDate","PrecedingWeekFridayOpen","PrecedingWeekFridayHigh","PrecedingWeekFridayLow","PrecedingWeekFridayClose","PrecedingWeekFridayVolume","PrecedingWeekFridayDayOfTheWeek","Unnamed..15","PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio","FollowingWeekMondayDate","FollowingWeekMondayOpen","FollowingWeekMondayHigh","FollowingWeekMondayLow","FollowingWeekMondayClose","FollowingWeekMondayVolume","FollowingWeekMondayDayOfTheWeek","didFridayCloseHigherThanThursdayClose","FridayCloseComparedToThursdayCloseChangeInPercent","wasFridayIntradayPositive","FridayIntradayChangeInPercent","WasMondayOpenHigherThanFridayClose","MondayOpenComparedToFridayCloseChangeInPercent","MondayOpenToFridayCloseRatio","WasMondayCloseHigherThanFridayClose","MondayCloseComparedToFridayCloseChangeInPercent","fridayWasATripleWitchDay","NFPDayOrNot","NFPOutcome","CSIOutcome","CSIActualMinusExpected","CSIDayOrNot","wasItFOMCWeek","FOMCMeetingDate","FOMCAction","FOMCActualVSExpected","FOMCActionSpecial","PrecedingWeekFridayMonth","NFPOutcomeIsShock","CSIOutcomeIsShock","PrecedingWeekFridayVolumePrecedingWeekThursdayVolumeRATIO","Month","Monthclose","non_random_modelOPEN_predict","mixed_modelOPEN_predict","non_random_modelCLOSE_predict","mixed_modelCLOSE_predict"
"1/6/03 to 1/13/03","1/9/03",91.82,93.18,91.410004,92.809998,34804900,"Thursday","2003-01-10",91.949997,93.639999,91.800003,93.059998,37768900,"Friday",NA,1.085160423,"1/13/03",93.540001,93.860001,92.440002,93.029999,31649900,"Monday",1,0.269367531,1,1.20717894096288,1,0.515799495289061,1.005157995,0,-0.032236192,0,0,"Shock","",0,0,0,"","","","","Jan",1,0,1.08516042281403,"Odd","Odd",1,1,0,0
"1/20/03 to 1/27/03","1/23/03",88.75,89.379997,87.949997,88.709999,55919800,"Thursday","2003-01-24",88.589996,88.68,86.169998,86.379997,68633900,"Friday",NA,1.227363116,"1/27/03",85.730003,86.800003,84.5,85.199997,57884400,"Monday",0,-2.626538188,0,-2.494637205,0,-0.752482082,0.992475179,0,-1.366057005,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.22736311646322,"Odd","Odd",1,0,1,1
"1/27/03 to 2/3/03","1/30/03",86.790001,86.879997,84.400002,84.43,49845900,"Thursday","2003-01-31",84.150002,86.209999,84.150002,86.059998,55317000,"Friday",NA,1.109760281,"2/3/03",86.139999,86.809998,85.919998,86.230003,39696000,"Monday",1,1.93059102214851,1,2.26975158004155,1,0.092959565,1.000929596,1,0.197542416861319,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.10976028118662,"Odd","Odd",1,1,1,1
"2/3/03 to 2/10/03","2/6/03",84.370003,84.889999,83.650002,84.449997,53638000,"Thursday","2003-02-07",84.910004,84.989998,82.970001,83.419998,43165000,"Friday",NA,0.804746635,"2/10/03",83.459999,84.129997,82.650002,84.010002,45455900,"Monday",0,-1.219655461,0,-1.754806183,1,0.047951332,1.000479513,1,0.707269257,0,0,"Upbeat","",0,0,0,"","","","","Feb",0,0,0.804746634848428,"Even","Even",1,1,1,1
"2/17/03 to 2/24/03","2/20/03",85.209999,85.419998,84.050003,84.330002,29280100,"Thursday","2003-02-21",84.379997,85.739998,83.459999,85.18,60955800,"Friday",NA,2.08181666,"2/24/03",84.93,85,83.589996,83.800003,30628600,"Monday",1,1.00794258252243,1,0.948095553973537,0,-0.293496126,0.997065039,0,-1.620095093,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,2.08181666046223,"Even","Even",1,1,1,1
"2/24/03 to 3/3/03","2/27/03",83.699997,84.75,83.160004,84.339996,51126000,"Thursday","2003-02-28",84.470001,85.230003,84.160004,84.900002,43666800,"Friday",NA,0.854101631,"3/3/03",85.260002,85.779999,83.720001,84.089996,42923100,"Monday",1,0.663986277637482,1,0.509057647578345,1,0.424028258562349,1.004240283,0,-0.954070649,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.854101631263936,"Even","Even",0,1,1,1
"3/3/03 to 3/10/03","3/6/03",82.870003,83.519997,82.470001,82.75,41217700,"Thursday","2003-03-07",81.610001,83.989998,81.43,83.32,63538000,"Friday",NA,1.54152221,"3/10/03",82.599998,82.860001,81.099998,81.32,41014100,"Monday",1,0.688821752265853,1,2.09533020346366,0,-0.864140663,0.991358593,0,-2.400384061,0,0,"Shock","",0,0,0,"","","","","Mar",1,0,1.54152221011847,"Odd","Odd",1,1,0,0
"3/10/03 to 3/17/03","3/13/03",82.18,83.910004,81.529999,83.860001,72117800,"Thursday","2003-03-14",84.199997,84.769997,83.349998,84.129997,63951800,"Friday",NA,0.886768592,"3/17/03",83.459999,86.949997,83.220001,86.779999,88217500,"Monday",1,0.321960406368235,0,-0.083135395,0,-0.796384196,0.992036158,1,3.14988956911528,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.886768592497275,"Odd","Odd",1,1,1,1
"3/17/03 to 3/24/03","3/20/03",87.330002,88.589996,86.349998,88.150002,67321600,"Thursday","2003-03-21",88.800003,89.879997,87.93,89.669998,71165300,"Friday",NA,1.057094603,"3/24/03",88.019997,88.139999,86.349998,86.690002,65398900,"Monday",1,1.72432894556259,1,0.979724066000316,0,-1.840081451,0.981599185,0,-3.323292145,1,0,"Baseline","",0,0,0,"","","","","Mar",0,0,1.05709460262382,"Odd","Odd",1,1,0,0
"3/24/03 to 3/31/03","3/27/03",86.400002,87.660004,85.989998,87.150002,53120200,"Thursday","2003-03-28",86.470001,87.279999,86.25,86.709999,32583000,"Friday",NA,0.61338248,"3/31/03",85.349998,86.589996,84.400002,84.739998,61119500,"Monday",0,-0.50488008,1,0.277550592372492,0,-1.568447717,0.984315523,0,-2.271942132,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.61338247973464,"Odd","Odd",1,1,1,1
"3/31/03 to 4/7/03","4/3/03",88.870003,88.989998,87.650002,87.699997,48755500,"Thursday","2003-04-04",88.43,88.589996,87.620003,88.220001,36250100,"Friday",NA,0.743507912,"4/7/03",90.339996,90.849998,87.970001,88.050003,69776200,"Monday",1,0.592935025984095,0,-0.237474839,1,2.40307750619953,1.024030775,0,-0.192697799,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,0.743507911927885,"Even","Even",1,1,1,1
"4/7/03 to 4/14/03","4/10/03",87.089996,87.629997,85.709999,87.510002,41812400,"Thursday","2003-04-11",88.160004,88.699997,86.860001,87.150002,47730100,"Friday",NA,1.141529785,"4/14/03",87.470001,89,87,88.949997,36711700,"Monday",0,-0.411381547,0,-1.1456465,1,0.367181861912058,1.003671819,1,2.06539869040966,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,1.14152978542251,"Even","Even",1,1,1,1
"4/21/03 to 4/28/03","4/24/03",91.529999,92.080002,90.959999,91.360001,49692400,"Thursday","2003-04-25",91.300003,91.470001,90.019997,90.230003,43917200,"Friday",NA,0.883781021,"4/28/03",90.440002,92.190002,90.300003,91.790001,46432900,"Monday",0,-1.236862946,0,-1.171960531,1,0.232737441003976,1.002327374,1,1.72891272097155,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,0.883781020840209,"Even","Even",1,1,1,1
"4/28/03 to 5/5/03","5/1/03",91.919998,92.730003,90.5,91.900002,50240400,"Thursday","2003-05-02",91.559998,93.470001,91.489998,93.209999,50201500,"Friday",NA,0.999225723,"5/5/03",93.470001,93.779999,92.5,93.029999,35437800,"Monday",1,1.42545916375496,1,1.80209811712753,1,0.278942176579146,1.002789422,0,-0.193112329,0,0,"Baseline","",0,0,0,"","","","","May",0,0,0.999225722725138,"Odd","Even",1,1,1,1
"5/5/03 to 5/12/03","5/8/03",92.519997,93.330002,92.279999,92.449997,40570700,"Thursday","2003-05-09",92.830002,93.800003,92.610001,93.730003,33608100,"Friday",NA,0.828383538,"5/12/03",93.5,95.120003,93.279999,94.879997,35662300,"Monday",1,1.38453871447935,1,0.969515222029192,0,-0.245388875,0.997546111,1,1.22692197075893,0,0,"Baseline","",0,0,0,"","","","","May",0,0,0.828383537873391,"Odd","Even",1,0,1,1
"5/12/03 to 5/19/03","5/15/03",94.889999,95.330002,94.25,95.110001,43879200,"Thursday","2003-05-16",94.889999,95.449997,94.260002,94.870003,38905000,"Friday",NA,0.886638772,"5/19/03",94.150002,94.419998,92.330002,92.650002,41606000,"Monday",0,-0.252337291,0,-0.021072821,0,-0.758934307,0.992410657,0,-2.340045251,0,0,"Baseline","",0,0,0,"","","","","May",0,0,0.886638771901037,"Odd","Even",1,1,1,1
"5/26/03 to 6/2/03","5/29/03",95.879997,96.82,95.080002,95.419998,50844200,"Thursday","2003-05-30",95.900002,97.089996,95.559998,96.949997,52529500,"Friday",NA,1.033146357,"6/2/03",97.529999,98.449997,96.669998,97.349998,50305500,"Monday",1,1.60343642010974,1,1.09488527435067,1,0.598248600255251,1.005982486,1,0.412584850312067,0,0,"Baseline","",0,0,0,"","","","","May",0,0,1.03314635690993,"Odd","Even",1,1,1,1
